Variable	Class
Age	continuous
ClassOfWorker	categorical
DetailedIndustry	categorical
Occupation	categorical
Education	categorical
WagePerHour	continuous
EnrollinEdu	categorical
MaritalStat	categorical
MajorIndustry	categorical
MajorOccupation	categorical
Race	categorical
HispanicOrigin	categorical
Sex	categorical
LaborUnion	categorical
UnemployReason	categorical
EmploymentStat	categorical
CapitalGains	continuous
CapitalLosses	continuous
StockDividends	continuous
TaxFilerStat	categorical
RegionOfResidence	categorical
StateOfResidence	categorical
DetailedFamilyStat	categorical
DetailedHouseholdSummary	categorical
InstanceWeight	continuous
MigrationCodeMSA	categorical
MigrationCodeReg	categorical
MigrationCodeReg	categorical
LiveInHouse	categorical
MigrationPrevSunBelt	categorical
NumPersonsWorkedEmployer	categorical
ParentsPresent	categorical
CountryFatherBirth	categorical
CountryMotherBirth	categorical
CountrySelfBirth	categorical
Citizenship	categorical
OwnBusiness	categorical
VeteranAdmin	categorical
VeteranBenefits	categorical
WeeksWorkedInYear	continuous
Year	categorical
Target	categorical
